Title,Department,Location,Salary,Closing Date,UID,URL,Full Ad Text,scraped_date
Head of Detention Services Command,Home Office,"London, Croydon, Sheffield, Manchester, Liverpool - with regular travel to London and across the country as required.","75,000",2024-01-15,333182,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZzZWFyY2hwYWdlPTU4Jm93bmVyPTUwNzAwMDAmam9ibGlzdF92aWV3X3ZhYz0xODkyNTE4Jm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5Njk4LTk3MDgyYjE0NmFmNmE1NWM0MTQzODM0YjdmMzc3ODI3ZjA0NTA2MzE=,,
"Senior Content Creator, Production Manager (Ref: 82761)",Ministry of Justice,"This position is based at 102 PETTY FRANCE (MOJ) LONDON, SW1H 9AJ","45,824",2024-01-15,333183,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZqb2JsaXN0X3ZpZXdfdmFjPTE4OTI0OTkmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmc2VhcmNocGFnZT01OCZwYWdlY2xhc3M9Sm9icyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmc2VhcmNoc29ydD1jbG9zaW5nJnJlcXNpZz0xNzA0MjI5Njk4LTk3MDgyYjE0NmFmNmE1NWM0MTQzODM0YjdmMzc3ODI3ZjA0NTA2MzE=,,
"Asylum Support, Resettlement and Accommodation (ASRA), Senior Facilities Management Delivery Lead ",Home Office,"Cardiff - General Buildings, Durham - Freemans Reach, Glasgow - Festival Court, Leeds - Waterside Court, Liverpool - The Capital, Manchester - Soapworks, Middlesbrough - Eustace House, Newcastle-Upon-Tyne ... see the job advert for full location information","41,600",2024-01-12,333186,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg5MjgyNyZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZvd25lcj01MDcwMDAwJnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlY2xhc3M9Sm9icyZvd25lcnR5cGU9ZmFpciZzZWFyY2hwYWdlPTQ2JnJlcXNpZz0xNzA0MjI5NjUyLTE0Zjk4ZjdlMDVkNTc3YWRiOTRlM2I1OGM0MjdkNzEwMTAwNzBkMzA=,,
Approved Premises Residential Worker - Annualised Hours Contract (Ref: 82771),HM Prison & Probation Service,"This position is based at NPS 1 HADDON MILTON KEYNES, MK8 9AL","24,228",2024-01-22,333187,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9NzImdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJmpvYmxpc3Rfdmlld192YWM9MTg5MjUwMiZvd25lcj01MDcwMDAwJm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5NzUyLTRjYzMyOWM0ZWZhMDhlM2EzMzNjMWU1N2U0YjlkZGI2MTE1YmYzMjI=,,
Band 5 Pharmacy Technician,Ministry of Defence,"HMS Nelson, Queen Street, Portsmouth, Hants, PO1 3HH","28,407",2024-01-09,333188,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmam9ibGlzdF92aWV3X3ZhYz0xODkyNTE3Jm93bmVyPTUwNzAwMDAmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9Mzcmc2VhcmNoc29ydD1jbG9zaW5nJnJlcXNpZz0xNzA0MjI5NjE4LTRhZDI0MjI3YTRmOGY0MTBiNTBhMWQzNzc3NThlYTlhMzI1Nzc2NTc=,,
Project Manager,Ministry of Defence,"Coltman House, DMS Whittington, Lichfield, Staffordshire, WS14 9PY","43,080",2024-01-22,333191,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9NzImdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmam9ibGlzdF92aWV3X3ZhYz0xODkyNTI0Jm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5NzUyLTRjYzMyOWM0ZWZhMDhlM2EzMzNjMWU1N2U0YjlkZGI2MTE1YmYzMjI=,,
Neurodiversity Support Manager - HMP Exeter (Ref: 82776 ),HM Prison & Probation Service,"This position is based at HMYOI EXETER, EX4 4EX","34,862",2024-01-12,333196,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT00NiZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmam9ibGlzdF92aWV3X3ZhYz0xODkyNTMwJnJlcXNpZz0xNzA0MjI5NjUyLTE0Zjk4ZjdlMDVkNTc3YWRiOTRlM2I1OGM0MjdkNzEwMTAwNzBkMzA=,,
Senior People Partner ,National Institute for Health and Care Excellence (NICE),"Manchester, North West England, M1 4BT","50,952",2024-01-14,333205,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT01MCZvd25lcj01MDcwMDAwJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZqb2JsaXN0X3ZpZXdfdmFjPTE4OTI1MzMmb3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnBhZ2VjbGFzcz1Kb2JzJnJlcXNpZz0xNzA0MjI5NjY3LTlhMTNjZDY5MGNkMzZmY2U5OWY2ZmMwMTJlY2M1N2Q0YzYzNmNiZTg=,,
Senior Policy Officer - Online Tracking,Information Commissioner's Office,Hybrid,"40,565",2024-01-14,333211,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT01MCZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWNsYXNzPUpvYnMmb3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZqb2JsaXN0X3ZpZXdfdmFjPTE4OTI1MzYmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnJlcXNpZz0xNzA0MjI5NjY3LTlhMTNjZDY5MGNkMzZmY2U5OWY2ZmMwMTJlY2M1N2Q0YzYzNmNiZTg=,,
Associate Product Manager,OFGEM,"Cardiff, Glasgow, London","23,450",2024-01-15,333216,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4OTI1NDUmb3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZzZWFyY2hwYWdlPTU4JnJlcXNpZz0xNzA0MjI5Njk4LTk3MDgyYjE0NmFmNmE1NWM0MTQzODM0YjdmMzc3ODI3ZjA0NTA2MzE=,,
Procurement Lead – Corporate Services,Government Commercial Function,"Manchester, Telford, London. Occasional travel to other HMRC offices as required. Relocation costs will not be reimbursed.","68,775",2024-01-11,333218,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkyNTg3JnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmc2VhcmNocGFnZT00MyZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0Jm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5NjQwLThhNTk0Nzk4YzE1OTFkMTUwZjM3ZjA0MWQxMmQ5M2E1NDA2YjhmN2I=,,
Reactive Team Supervisor,House of Commons,"City of Westminster, London (region), SW1A 0AA","33,451",2024-01-14,333221,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcnR5cGU9ZmFpciZqb2JsaXN0X3ZpZXdfdmFjPTE4OTI1NDgmb3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTUwJnJlcXNpZz0xNzA0MjI5NjY3LTlhMTNjZDY5MGNkMzZmY2U5OWY2ZmMwMTJlY2M1N2Q0YzYzNmNiZTg=,,
Senior Probation Officer - Unpaid Work - Southampton or Portsmouth (South Central) (Ref: 82750),HM Prison & Probation Service,"This position is based at NPS TOWN QUAY HOUSE SOUTHAMPTON, SO14 2PT, NMS Portsmouth Civic Offices, PO1 2AL","38,857",2024-01-10,333223,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkyNTUxJm93bmVyPTUwNzAwMDAmc2VhcmNocGFnZT00MCZwYWdlY2xhc3M9Sm9icyZvd25lcnR5cGU9ZmFpciZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnJlcXNpZz0xNzA0MjI5NjI5LWZlNDg4MzVlMTJmYzBjMzNjM2E5N2FjZTFhZTE2YTNiNTI3MDQzZDg=,,
Emergency Preparedness Manager,UK Health Security Agency,"Office bases at Leeds, London (Canary Wharf), Liverpool and Birmingham with hybrid working","38,724",2024-01-12,333225,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmb3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT00NiZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmam9ibGlzdF92aWV3X3ZhYz0xODkyNTU0JnJlcXNpZz0xNzA0MjI5NjUyLTE0Zjk4ZjdlMDVkNTc3YWRiOTRlM2I1OGM0MjdkNzEwMTAwNzBkMzA=,,
Head of Operational Health & Safety,FCDO Services,"Hanslope, South East England, MK19 7BH","54,340",2024-01-12,333227,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkyNTU3JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZzZWFyY2hwYWdlPTQ2JnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcnR5cGU9ZmFpciZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NjUyLTE0Zjk4ZjdlMDVkNTc3YWRiOTRlM2I1OGM0MjdkNzEwMTAwNzBkMzA=,,
DASA - Governance & Metrics Officer,Defence Science and Technology Laboratory,"Dstl Porton Down, Salisbury, Wiltshire, SP4 0JQ or Dstl Portsdown West, Fareham, Hampshire, PO17 6AD","35,970",2024-01-14,333231,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImam9ibGlzdF92aWV3X3ZhYz0xODkyNTc3JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcj01MDcwMDAwJnBhZ2VjbGFzcz1Kb2JzJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTUwJnJlcXNpZz0xNzA0MjI5NjY3LTlhMTNjZDY5MGNkMzZmY2U5OWY2ZmMwMTJlY2M1N2Q0YzYzNmNiZTg=,,
"Deputy Director, Local Government Performance and Accountability","Department for Levelling Up, Housing and Communities","Bristol, Darlington, Manchester, Wolverhampton","75,000",2024-01-10,333238,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9Mzkmb3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZqb2JsaXN0X3ZpZXdfdmFjPTE4OTI2NDcmc2VhcmNoc29ydD1jbG9zaW5nJnJlcXNpZz0xNzA0MjI5NjI1LWU4NmVkOTdlZmI1Yjc2N2QyMGU5Zjc3ZjI0NTJlMmU4OTI2Y2ZlNjI=,,
National Centre for Geospatial Intelligence – Technology (NCGI-T) – Specialist Engineering Team - Engineer - HEO,Ministry of Defence,"Wyton, East of England, PE28 2AE","35,290",2024-01-10,333242,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJmpvYmxpc3Rfdmlld192YWM9MTg5MjY5MyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWNsYXNzPUpvYnMmb3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTM5JnJlcXNpZz0xNzA0MjI5NjI1LWU4NmVkOTdlZmI1Yjc2N2QyMGU5Zjc3ZjI0NTJlMmU4OTI2Y2ZlNjI=,,
National Risk and Corporate Assurance Lead (Ref: 82760),HM Courts and Tribunals Service,"East Midlands (England), East of England, London (region), North East England, North West England, Scotland, South East England, South West England, Wales, West Midlands (England), Yorkshire and the Humber","54,358",2024-01-10,333244,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT00MCZqb2JsaXN0X3ZpZXdfdmFjPTE4OTI1NjImb3duZXI9NTA3MDAwMCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmb3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJnJlcXNpZz0xNzA0MjI5NjI5LWZlNDg4MzVlMTJmYzBjMzNjM2E5N2FjZTFhZTE2YTNiNTI3MDQzZDg=,,
HR Business Partner - Directorate of Security South (Ref: 82767),Ministry of Justice,"This position is based at HM Prison Belmarsh, SE28 0EB, HM Prison Swaleside, ME12 4AX, HM Prison Whitemoor, PE15 0PR","39,868",2024-01-10,333245,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0Jm93bmVydHlwZT1mYWlyJnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTQwJmpvYmxpc3Rfdmlld192YWM9MTg5MjU2OSZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NjI5LWZlNDg4MzVlMTJmYzBjMzNjM2E5N2FjZTFhZTE2YTNiNTI3MDQzZDg=,,
Court Usher (Ref: 82618),HM Courts and Tribunals Service,"This position is based at CHELMSFORD CROWN CHELMSFORD, CM1 1EL","21,149",2024-01-16,333248,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT02MyZqb2JsaXN0X3ZpZXdfdmFjPTE4OTI1NzQmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWNsYXNzPUpvYnMmb3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NzE3LWE1ZjU0NzQ3NmZiZjQzZjNhYTAzMmVmNGNmNmRlNjNhOTY0MThmNTA=,,
Commercial Analyst (Commercial MI & Benchmarking),"Department for Levelling Up, Housing and Communities","Darlington, Leeds, London, Manchester, Wolverhampton","38,732",2024-01-28,333252,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmc2VhcmNocGFnZT03NSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImb3duZXI9NTA3MDAwMCZwYWdlY2xhc3M9Sm9icyZzZWFyY2hzb3J0PWNsb3Npbmcmam9ibGlzdF92aWV3X3ZhYz0xODkyNjIzJnJlcXNpZz0xNzA0MjI5NzYzLWQ5M2QxMDU2ZmEwNTdkMDU5ODMyZTRmOWFjYmE2YTZlZThmNzQ4OWY=,,
Reconsideration Case Manager (Ref: 82813),Parole Board,"East Midlands (England), East of England, London (region), North East England, North West England, Scotland, South East England, South West England, Wales, West Midlands (England), Yorkshire and the Humber","23,735",2024-01-19,333256,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg5MjU3NiZwYWdlY2xhc3M9Sm9icyZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZvd25lcnR5cGU9ZmFpciZzZWFyY2hwYWdlPTY3JnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NzMyLWNiYWE5Nzk2N2Y3NmJjYzk1ZTBjOGZjZDVkZjViNjE0MzIwNDBlYWY=,,
Senior Reference Laboratory Manager (OB23.23),Animal and Plant Health Agency,"New Haw, South East England, KT15 3NB","42,577",2024-01-23,333260,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkyOTMyJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcnR5cGU9ZmFpciZwYWdlY2xhc3M9Sm9icyZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZzZWFyY2hwYWdlPTczJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NzU1LTZiZGZjMTVjODFkMzE0OTQ1N2QyYjAyNWY3NzE5MjVkY2NmMDQ0N2Q=,,
Secure Technical Services Officer.,FCDO Services,"Hanslope, South East England, MK19 7BH","35,510",2024-01-28,333267,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmc2VhcmNocGFnZT03NSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImb3duZXI9NTA3MDAwMCZwYWdlY2xhc3M9Sm9icyZqb2JsaXN0X3ZpZXdfdmFjPTE4OTI1ODMmc2VhcmNoc29ydD1jbG9zaW5nJnJlcXNpZz0xNzA0MjI5NzYzLWQ5M2QxMDU2ZmEwNTdkMDU5ODMyZTRmOWFjYmE2YTZlZThmNzQ4OWY=,,
Learning Strategy Lead,Defence Science and Technology Laboratory,"Dstl Porton Down, Salisbury, SP4 0JQ - Dstl Portsdown West, Fareham, PO17 6AD","44,667",2024-01-14,333273,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImam9ibGlzdF92aWV3X3ZhYz0xODkyNjE4JnNlYXJjaHNvcnQ9Y2xvc2luZyZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZwYWdlY2xhc3M9Sm9icyZzZWFyY2hwYWdlPTUwJnJlcXNpZz0xNzA0MjI5NjY3LTlhMTNjZDY5MGNkMzZmY2U5OWY2ZmMwMTJlY2M1N2Q0YzYzNmNiZTg=,,
Admin Officer (Ref: 82785),HM Courts and Tribunals Service,"This position is based at EAST LONDON FAMILY COURT LONDON, E14 4HD, London CTS Central Family Court, WC1V 6NP, London CTS Court of Protection, WC1A 9JA, London CTS Clerkenwell & Shoreditch County Court & ... see the job advert for full location information","27,000",2024-01-10,333277,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT00MCZqb2JsaXN0X3ZpZXdfdmFjPTE4OTI1ODYmb3duZXI9NTA3MDAwMCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmb3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJnJlcXNpZz0xNzA0MjI5NjI5LWZlNDg4MzVlMTJmYzBjMzNjM2E5N2FjZTFhZTE2YTNiNTI3MDQzZDg=,,
Band 6 Senior Physiotherapist,Ministry of Defence,"Wattisham Airfield, Ipswich, Suffolk, IP7 7RA","35,392",2024-01-08,333283,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWNsYXNzPUpvYnMmb3duZXJ0eXBlPWZhaXImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVyPTUwNzAwMDAmam9ibGlzdF92aWV3X3ZhYz0xODkyNTkxJnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTMwJnJlcXNpZz0xNzA0MjI5NTkxLWY4NTNkZjJiZGZhNzgxNzFjMDc0YzY0YzYxMTRmYjliYWNhNTMwMmQ=,,
HR Advisor,House of Lords,Westminster,"35,700",2024-01-12,333286,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JmpvYmxpc3Rfdmlld192YWM9MTg5MjU5MiZvd25lcj01MDcwMDAwJnBhZ2VjbGFzcz1Kb2JzJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcnR5cGU9ZmFpciZzZWFyY2hwYWdlPTQ2JnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnJlcXNpZz0xNzA0MjI5NjUyLTE0Zjk4ZjdlMDVkNTc3YWRiOTRlM2I1OGM0MjdkNzEwMTAwNzBkMzA=,,
Principal Developer - Management,"Department for Levelling Up, Housing and Communities","Birmingham, Bristol, Darlington, Manchester, Wolverhampton","67,280",2024-01-14,333289,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJmpvYmxpc3Rfdmlld192YWM9MTg5MjcwMyZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZvd25lcnR5cGU9ZmFpciZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT00OSZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NjYzLWQwM2EyMzZhMzYzODUwMzg4N2Y4NzFlYmEzNmIzMGNhNmE2ZGVkODI=,,
Senior Operational Lead - PS National Security Division - Wales and South West (Ref: 82272),HM Prison & Probation Service,"This position is based at BRISTOL MAGISTRATES BRISTOL, BS1 3NU, NPS 150 VICTORIA ROAD SWINDON, SN1 3UZ, NPS 3-5 BARNFIELD ROAD EXETER, EX1 1RD, NPS 63 COMMERCIAL ROAD POOLE, BH14 0JB, NPS 7 MADEIRA ROAD ... see the job advert for full location information","44,583",2024-01-11,333293,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZwYWdlY2xhc3M9Sm9icyZqb2JsaXN0X3ZpZXdfdmFjPTE4OTI1OTkmb3duZXJ0eXBlPWZhaXImdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTQzJnJlcXNpZz0xNzA0MjI5NjQwLThhNTk0Nzk4YzE1OTFkMTUwZjM3ZjA0MWQxMmQ5M2E1NDA2YjhmN2I=,,
Commercial Standards Officer (Ref: 82591),Ministry of Justice,"East Midlands (England), East of England, London (region), North East England, North West England, Scotland, South East England, South West England, Wales, West Midlands (England), Yorkshire and the Humber","27,223",2024-01-11,333294,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTQzJm93bmVydHlwZT1mYWlyJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JmpvYmxpc3Rfdmlld192YWM9MTg5MjU5MyZvd25lcj01MDcwMDAwJnBhZ2VjbGFzcz1Kb2JzJnJlcXNpZz0xNzA0MjI5NjQwLThhNTk0Nzk4YzE1OTFkMTUwZjM3ZjA0MWQxMmQ5M2E1NDA2YjhmN2I=,,
Marine Lead Adviser - Ref : 5674,Natural England,South West England,"29,318",2024-01-22,333303,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJnNlYXJjaHBhZ2U9NzImdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVydHlwZT1mYWlyJm93bmVyPTUwNzAwMDAmam9ibGlzdF92aWV3X3ZhYz0xODkyNjA0JnJlcXNpZz0xNzA0MjI5NzUyLTRjYzMyOWM0ZWZhMDhlM2EzMzNjMWU1N2U0YjlkZGI2MTE1YmYzMjI=,,
Financial Accountant,"Department for Science, Innovation & Technology","Birmingham, Cardiff, Darlington, Edinburgh, London, Salford","37,470",2024-01-19,333311,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTY2JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZwYWdlY2xhc3M9Sm9icyZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXJ0eXBlPWZhaXImdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmam9ibGlzdF92aWV3X3ZhYz0xODkyOTMwJnJlcXNpZz0xNzA0MjI5NzI4LTlhYWFmZDlmOWEzZjczYWYxYWY4NTNmYmMzOWRjZGRlMWM2OGJmOTg=,,
